Year,Monthly_Avg_Anomaly,Annual_Anomaly,Positive_Months,Cold_Months,Hot_Months,Months_Above_1C,Months_Above_1_5C,Months_Above_2C
1850,-0.43566666666666665,-0.436,0,5,0,0,0,0
1851,-0.32075000000000004,-0.392,0,2,0,0,0,0
1852,-0.29225,-0.301,1,4,0,0,0,0
1853,-0.29450000000000004,-0.242,1,1,0,0,0,0
1854,-0.2833333333333333,-0.377,1,2,0,0,0,0
1855,-0.27825,-0.18,0,1,0,0,0,0
1856,-0.39633333333333337,-0.316,1,4,0,0,0,0
1857,-0.5378333333333333,-0.598,0,8,0,0,0,0
1858,-0.33416666666666667,-0.37,0,0,0,0,0,0
1859,-0.22224999999999998,-0.252,2,1,0,0,0,0
1860,-0.3780833333333333,-0.307,0,3,0,0,0,0
1861,-0.4555,-0.505,0,3,0,0,0,0
1862,-0.5539999999999999,-0.449,0,7,0,0,0,0
1863,-0.31275000000000003,-0.39,0,0,0,0,0,0
1864,-0.34525,-0.343,0,0,0,0,0,0
1865,-0.25133333333333335,-0.313,1,0,0,0,0,0
1866,-0.211,-0.255,3,1,0,0,0,0
1867,-0.16641666666666668,-0.203,2,0,0,0,0,0
1868,-0.21050000000000002,-0.17,2,2,0,0,0,0
1869,-0.21775,-0.193,1,1,0,0,0,0
1870,-0.28775,-0.238,0,1,0,0,0,0
1871,-0.32125,-0.316,0,3,0,0,0,0
1872,-0.28475,-0.32,0,0,0,0,0,0
1873,-0.2539166666666667,-0.255,0,0,0,0,0,0
1874,-0.3015833333333333,-0.296,0,1,0,0,0,0
1875,-0.34625,-0.315,0,1,0,0,0,0
1876,-0.3495,-0.331,0,2,0,0,0,0
1877,0.028083333333333335,-0.196,6,0,0,0,0,0
1878,0.11908333333333332,0.184,7,0,0,0,0,0
1879,-0.23316666666666666,-0.121,0,0,0,0,0,0
1880,-0.29916666666666664,-0.31,0,0,0,0,0,0
1881,-0.18316666666666667,-0.182,0,0,0,0,0,0
1882,-0.2508333333333333,-0.212,2,1,0,0,0,0
1883,-0.3045,-0.303,0,1,0,0,0,0
1884,-0.47150000000000003,-0.409,0,6,0,0,0,0
1885,-0.43975000000000003,-0.503,0,4,0,0,0,0
1886,-0.4644166666666667,-0.419,0,4,0,0,0,0
1887,-0.5007499999999999,-0.509,0,3,0,0,0,0
1888,-0.29433333333333334,-0.401,0,1,0,0,0,0
1889,-0.1725833333333333,-0.103,3,0,0,0,0,0
1890,-0.4615,-0.42,0,2,0,0,0,0
1891,-0.345,-0.408,0,2,0,0,0,0
1892,-0.40599999999999997,-0.336,0,1,0,0,0,0
1893,-0.38083333333333336,-0.447,0,2,0,0,0,0
1894,-0.37483333333333335,-0.373,0,2,0,0,0,0
1895,-0.31433333333333335,-0.339,0,0,0,0,0,0
