Decade,Avg_Anomaly,Std_Anomaly,Min_Anomaly,Max_Anomaly,Total_Months,Total_Cold_Months,Total_Hot_Months,Total_Positive_Months
1850,-0.33953333333333335,0.1938455997091774,-0.815,0.115,120,28,0,6
1860,-0.31025833333333336,0.20893111308277088,-1.004,0.25,120,17,0,9
1870,-0.22310000000000002,0.20744461243158552,-0.624,0.576,120,8,0,13
1880,-0.3381,0.17968087490526832,-0.938,0.223,120,20,0,5
1890,-0.3370916666666667,0.15062804072502925,-0.894,0.001,120,11,0,1
1900,-0.371775,0.1682289587527225,-0.776,0.031,120,30,0,2
1910,-0.36365833333333336,0.17856117261864843,-0.803,0.089,120,27,0,2
1920,-0.21681666666666669,0.13804694021629468,-0.528,0.237,120,1,0,8
1930,-0.11019166666666667,0.14659194469444672,-0.41,0.429,120,0,0,26
1940,0.025133333333333334,0.13346733042702444,-0.297,0.39,120,0,0,69
1950,-0.009158333333333334,0.154620108916119,-0.392,0.358,120,0,0,59
1960,-0.03169166666666667,0.1306666678278454,-0.343,0.29,120,0,0,47
1970,0.04486666666666667,0.15785095263982327,-0.297,0.504,120,0,0,69
1980,0.267,0.13929082085015237,-0.027,0.58,120,0,0,116
1990,0.4389583333333333,0.1664744357104058,-0.028,0.892,120,0,0,119
2000,0.6306916666666667,0.1332326451929032,0.254,0.997,120,0,0,120
2010,0.84715,0.17929814848575587,0.487,1.338,120,0,20,120
2020,1.0838833333333333,0.20249913928811983,0.698,1.548,60,0,32,60
