Date,Year,Month,Decade,Season,Monthly_Anomaly,Monthly_Unc,Is_Positive_Anomaly,Is_Cold_Month,Is_Hot_Month,Above_1C,Above_1_5C,Above_2C
1850-01-01,1850,1,1850,Winter,-0.753,0.365,False,True,False,False,False,False
1850-02-01,1850,2,1850,Winter,-0.202,0.416,False,False,False,False,False,False
1850-03-01,1850,3,1850,Spring,-0.367,0.373,False,False,False,False,False,False
1850-04-01,1850,4,1850,Spring,-0.596,0.324,False,True,False,False,False,False
1850-05-01,1850,5,1850,Spring,-0.619,0.267,False,True,False,False,False,False
1850-06-01,1850,6,1850,Summer,-0.332,0.308,False,False,False,False,False,False
1850-07-01,1850,7,1850,Summer,-0.151,0.249,False,False,False,False,False,False
1850-08-01,1850,8,1850,Summer,-0.149,0.341,False,False,False,False,False,False
1850-09-01,1850,9,1850,Autumn,-0.416,0.237,False,False,False,False,False,False
1850-10-01,1850,10,1850,Autumn,-0.59,0.237,False,True,False,False,False,False
1850-11-01,1850,11,1850,Autumn,-0.572,0.317,False,True,False,False,False,False
1850-12-01,1850,12,1850,Winter,-0.481,0.312,False,False,False,False,False,False
1851-01-01,1851,1,1850,Winter,-0.159,0.389,False,False,False,False,False,False
1851-02-01,1851,2,1850,Winter,-0.402,0.351,False,False,False,False,False,False
1851-03-01,1851,3,1850,Spring,-0.55,0.331,False,True,False,False,False,False
1851-04-01,1851,4,1850,Spring,-0.626,0.45,False,True,False,False,False,False
1851-05-01,1851,5,1850,Spring,-0.326,0.445,False,False,False,False,False,False
1851-06-01,1851,6,1850,Summer,-0.24,0.217,False,False,False,False,False,False
1851-07-01,1851,7,1850,Summer,-0.198,0.221,False,False,False,False,False,False
1851-08-01,1851,8,1850,Summer,-0.295,0.282,False,False,False,False,False,False
1851-09-01,1851,9,1850,Autumn,-0.387,0.295,False,False,False,False,False,False
1851-10-01,1851,10,1850,Autumn,-0.144,0.352,False,False,False,False,False,False
1851-11-01,1851,11,1850,Autumn,-0.377,0.438,False,False,False,False,False,False
1851-12-01,1851,12,1850,Winter,-0.145,0.409,False,False,False,False,False,False
1852-01-01,1852,1,1850,Winter,-0.239,0.515,False,False,False,False,False,False
1852-02-01,1852,2,1850,Winter,-0.506,0.458,False,True,False,False,False,False
1852-03-01,1852,3,1850,Spring,-0.725,0.447,False,True,False,False,False,False
1852-04-01,1852,4,1850,Spring,-0.526,0.359,False,True,False,False,False,False
1852-05-01,1852,5,1850,Spring,-0.146,0.426,False,False,False,False,False,False
1852-06-01,1852,6,1850,Summer,-0.099,0.299,False,False,False,False,False,False
1852-07-01,1852,7,1850,Summer,-0.02,0.24,False,False,False,False,False,False
1852-08-01,1852,8,1850,Summer,-0.336,0.236,False,False,False,False,False,False
1852-09-01,1852,9,1850,Autumn,-0.299,0.255,False,False,False,False,False,False
1852-10-01,1852,10,1850,Autumn,-0.162,0.232,False,False,False,False,False,False
1852-11-01,1852,11,1850,Autumn,-0.536,0.366,False,True,False,False,False,False
1852-12-01,1852,12,1850,Winter,0.087,0.33,True,False,False,False,False,False
1853-01-01,1853,1,1850,Winter,-0.266,0.445,False,False,False,False,False,False
1853-02-01,1853,2,1850,Winter,-0.346,0.496,False,False,False,False,False,False
1853-03-01,1853,3,1850,Spring,-0.396,0.257,False,False,False,False,False,False
1853-04-01,1853,4,1850,Spring,-0.273,0.445,False,False,False,False,False,False
1853-05-01,1853,5,1850,Spring,-0.263,0.323,False,False,False,False,False,False
1853-06-01,1853,6,1850,Summer,-0.16,0.291,False,False,False,False,False,False
1853-07-01,1853,7,1850,Summer,0.05,0.178,True,False,False,False,False,False
1853-08-01,1853,8,1850,Summer,-0.043,0.211,False,False,False,False,False,False
1853-09-01,1853,9,1850,Autumn,-0.393,0.207,False,False,False,False,False,False
1853-10-01,1853,10,1850,Autumn,-0.47,0.319,False,False,False,False,False,False
1853-11-01,1853,11,1850,Autumn,-0.65,0.321,False,True,False,False,False,False
1853-12-01,1853,12,1850,Winter,-0.324,0.276,False,False,False,False,False,False
1854-01-01,1854,1,1850,Winter,-0.547,0.351,False,True,False,False,False,False
1854-02-01,1854,2,1850,Winter,-0.584,0.374,False,True,False,False,False,False
1854-03-01,1854,3,1850,Spring,-0.276,0.282,False,False,False,False,False,False
1854-04-01,1854,4,1850,Spring,-0.349,0.233,False,False,False,False,False,False
1854-05-01,1854,5,1850,Spring,-0.278,0.22,False,False,False,False,False,False
1854-06-01,1854,6,1850,Summer,-0.456,0.195,False,False,False,False,False,False
1854-07-01,1854,7,1850,Summer,-0.156,0.205,False,False,False,False,False,False
1854-08-01,1854,8,1850,Summer,-0.182,0.234,False,False,False,False,False,False
1854-09-01,1854,9,1850,Autumn,-0.248,0.211,False,False,False,False,False,False
1854-10-01,1854,10,1850,Autumn,0.115,0.266,True,False,False,False,False,False
1854-11-01,1854,11,1850,Autumn,-0.236,0.331,False,False,False,False,False,False
1854-12-01,1854,12,1850,Winter,-0.203,0.368,False,False,False,False,False,False
1855-01-01,1855,1,1850,Winter,-0.05,0.457,False,False,False,False,False,False
1855-02-01,1855,2,1850,Winter,-0.105,0.45,False,False,False,False,False,False
1855-03-01,1855,3,1850,Spring,-0.262,0.27,False,False,False,False,False,False
1855-04-01,1855,4,1850,Spring,-0.082,0.325,False,False,False,False,False,False
1855-05-01,1855,5,1850,Spring,-0.221,0.294,False,False,False,False,False,False
1855-06-01,1855,6,1850,Summer,-0.324,0.192,False,False,False,False,False,False
